cod_cor,denumire_ocupatie,denumire_clean,matched_job,match_score
111434,secretar al organizațiilor umanitare,secretar al organizatiilor umanitare,ofiter al fortelor armate,55.73770491803278
334302,secretar asistent director,secretar asistent director,secretar artistic,69.76744186046511
111417,secretar asociație teritorială de organizații cooperatiste,secretar asociatie teritoriala de organizatii cooperatiste,specialist in categorii de achizitii publice,50.98039215686274
263646,secretar Cancelaria Patriarhală,secretar cancelaria patriarhala,secretar general,59.57446808510638
263632,secretar culte,secretar culte,secretar de stat,66.66666666666666
341112,secretar dactilograf laborator expertize criminalistice,secretar dactilograf laborator expertize criminalistice,investigator criminalist,50.63291139240506
343514,secretar de emisie (studii medii),secretar de emisie (studii medii),secretar de stat,57.14285714285714
264214,secretar de emisie (studii superioare),secretar de emisie (studii superioare),inspector deseuri periculoase,56.71641791044776
343508,secretar de redacție (studii medii),secretar de redactie (studii medii),secretar artistic,57.692307692307686
264215,secretar de redacție (studii superioare),secretar de redactie (studii superioare),operator receptie materii prime,56.33802816901409
111234,secretar diplomatic,secretar diplomatic,secretar artistic,72.22222222222221
331307,secretar economic (studii medii),secretar economic (studii medii),cercetator in stiintele educatiei,55.38461538461539
263126,secretar economic (studii superioare),secretar economic (studii superioare),cercetator in economia afacerilor,57.14285714285714
263647,secretar eparhial,secretar eparhial,secretar general,78.78787878787878
342203,secretar federație,secretar federatie,secretar de stat,76.47058823529412
111237,secretar general Academie,secretar general academie,secretar general,78.04878048780488
111131,secretar general adjunct al Consiliului Superior al Magistraturii,secretar general adjunct al consiliului superior al magistraturii,manager general transport maritim,46.93877551020408
134911,"secretar general agenție presă, editură","secretar general agentie presa, editura",secretar general,58.18181818181818
111125,secretar general al Guvernului,secretar general al guvernului,secretar general,69.56521739130434
111414,secretar general asociație națională cooperatistă,secretar general asociatie nationala cooperatista,director banca cooperatista,55.26315789473685
143108,secretar general federație sport,secretar general federatie sport,director general aeroport,66.66666666666666
134912,secretar general redacție,secretar general redactie,secretar general,78.04878048780488
235901,"secretar institut, facultate","secretar institut, facultate",secretar artistic,62.22222222222222
264305,secretar literar,secretar literar,secretar general,75.0
265212,secretar muzical,secretar muzical,aranjor muzical,70.96774193548387
111425,secretar național organizație profesională națională,secretar national organizatie profesionala nationala,profesor invatamantul profesional si tehnic/vocational,52.83018867924528
341104,secretar notariat,secretar notariat,secretar artistic,76.47058823529412
111404,secretar organizație politică,secretar organizatie politica,secretar artistic,65.21739130434783
111428,"secretar organizație profesională, filială județeană/ municipiu","secretar organizatie profesionala, filiala judeteana/ municipiu",profesor invatamantul profesional si tehnic/vocational,47.863247863247864
111410,secretar organizație sindicală,secretar organizatie sindicala,secretar artistic,63.829787234042556
111126,secretar Parlament,secretar parlament,secretar artistic,68.57142857142857
265440,secretar platou,secretar platou,secretar de stat,70.96774193548387
