cod_cor,denumire_ocupatie,denumire_clean,matched_job,match_score,total_skill,essential,optional,knowledge,skill_com,predicted_score,risk_level
333913,agent de navă,agent de nava,agent de paza,84.61538461538461,36,16,20,4,32,54.87420317865971,medium
332203,agent de vânzări,agent de vanzari,agent de paza,82.75862068965517,36,16,20,4,32,54.87420317865971,medium
111108,guvernator,guvernator,guvernanta,80.0,36,16,20,4,32,54.87420317865971,medium
242211,administrator publicații,administrator publicatii,administrator publicatii,100.0,40,22,18,15,24,54.82028630923429,medium
242208,administrator public,administrator public,administrator publicatii,90.9090909090909,40,22,18,15,24,54.82028630923429,medium
833103,conducător tramvai (vatman),conducator tramvai (vatman),conducator tramvai (vatman),100.0,39,34,5,6,33,54.816864572689376,medium
511311,ghid montan,ghid montan,ghid montan,100.0,50,26,24,7,43,54.769842883269874,medium
815408,operator pregătitor chimicale în industria textilă,operator pregatitor chimicale in industria textila,operator pregatitor chimicale in industria textila,100.0,17,8,9,6,11,54.64872398927956,medium
432109,pivnicer,pivnicer,pivnicer,100.0,22,17,5,3,19,54.63740708033107,medium
214205,inginer construcții hidrotehnice,inginer constructii hidrotehnice,inginer constructii hidroenergetice,86.56716417910447,37,29,8,18,19,54.61774946726369,medium
815410,operator imprimeur textile,operator imprimeur textile,operator imprimeur textil,98.0392156862745,16,9,7,5,11,54.560731338603006,medium
815414,operator impregnator textile,operator impregnator textile,operator imprimeur textil,83.01886792452831,16,9,7,5,11,54.560731338603006,medium
532908,lucrător social,lucrator social,lucrator social,100.0,121,53,68,27,94,54.5215258936974,medium
522303,lucrător comercial,lucrator comercial,lucrator social,84.84848484848484,121,53,68,27,94,54.5215258936974,medium
222201,moașă,moasa,moasa,100.0,88,73,15,35,53,54.39277749611221,medium
432307,însoțitor vagoane,insotitor vagoane,insotitor vagon,93.75,35,9,26,1,34,54.341599562299834,medium
223008,terapeut în terapii complementare,terapeut in terapii complementare,terapeut in terapii complementare,100.0,73,7,66,42,31,54.32088813862191,medium
243106,manager comerț electronic,manager comert electronic,manager comert electronic,100.0,43,25,18,20,21,54.209507716653974,medium
311209,tehnician instalații în construcții,tehnician instalatii in constructii,tehnician instalatii in constructii,100.0,40,18,22,10,30,54.170430659433,medium
311901,maistru în industria celulozei și hârtiei,maistru in industria celulozei si hartiei,maistru in industria celulozei si hartiei,100.0,38,17,21,7,31,54.15955851612041,medium
263419,terapeut ocupațional,terapeut ocupational,terapeut ocupational,100.0,86,69,17,36,50,54.14341937466394,medium
321401,tehnician protezist – ortezist,tehnician protezist – ortezist,tehnician protezist-ortezist,93.10344827586206,29,17,12,11,18,54.12459461264229,medium
731801,confecționer plase pescărești,confectioner plase pescaresti,confectioner plase de pescuit,82.75862068965517,10,3,7,6,4,54.020541942100046,medium
818105,cuptorar recoacere sticlă,cuptorar recoacere sticla,cuptorar recoacere sticla,100.0,36,17,19,2,34,54.00376312986505,medium
341115,grefier registrator,grefier registrator,grefier registrator,100.0,30,11,19,4,26,53.998105828580336,medium
325723,inspector în domeniul securității și sănătății în muncă,inspector in domeniul securitatii si sanatatii in munca,agent in domeniul securitatii si sanatatii in munca,90.56603773584906,38,16,22,11,27,53.97768547457935,medium
226302,specialist în domeniul securității și sănătății în muncă,specialist in domeniul securitatii si sanatatii in munca,agent in domeniul securitatii si sanatatii in munca,89.7196261682243,38,16,22,11,27,53.97768547457935,medium
817225,tăietor la ferăstrău panglică,taietor la ferastrau panglica,operator fierastrau panglica,80.7017543859649,45,22,23,13,32,53.961683076854094,medium
832203,șofer autoambulanță,sofer autoambulanta,sofer auto ambulanta,97.43589743589743,47,33,14,16,31,53.94502120336312,medium
265442,producător TV,producator tv,producator vernis,80.0,34,14,20,3,31,53.94211430076662,medium
721114,turnător modelier,turnator modelier,turnator modelier,100.0,27,9,18,7,20,53.94029194912642,medium
252912,inginer de securitate sisteme înglobate,inginer de securitate sisteme inglobate,inginer de securitate sisteme inglobate,100.0,41,31,10,15,25,53.9213249744238,medium
252910,manager de securitate sisteme informatice,manager de securitate sisteme informatice,inginer de securitate sisteme inglobate,82.5,41,31,10,15,25,53.9213249744238,medium
141112,director rotiserie,director rotiserie,director artistic,80.0,49,37,12,5,44,53.91335552584164,medium
231004,preparator învățământul universitar,preparator invatamantul universitar,preparator invatamantul superior,86.56716417910447,30,11,19,5,25,53.86979841327573,medium
226903,medic legist,medic legist,medic legist,100.0,26,9,17,7,19,53.84703408091129,medium
111139,președinte Senat,presedinte senat,presedinte instanta,80.0,26,9,17,7,19,53.84703408091129,medium
516202,însoțitor,insotitor,insotitor spa,81.81818181818183,40,21,19,5,35,53.78603245623083,medium
511318,însoțitor speolog,insotitor speolog,insotitor spa,80.0,40,21,19,5,35,53.78603245623083,medium
226502,dietetician,dietetician,dietetician,100.0,103,81,22,41,62,53.73421171342707,medium
817104,albitor pastă hârtie,albitor pasta hartie,operator pasta hartie,82.92682926829268,32,13,19,4,28,53.734151772687405,medium
741105,montator instalații solare,montator instalatii solare,montator instalatii baie,88.0,49,23,26,9,40,53.71849777166677,medium
333905,manager sportiv,manager sportiv,manager sportiv,100.0,32,21,11,2,30,53.68352177634089,medium
226201,farmacist,farmacist,farmacist,100.0,86,65,21,28,58,53.65601726494663,medium
134206,farmacist-șef,farmacist-sef,farmacist,81.81818181818183,86,65,21,28,58,53.65601726494663,medium
432319,revizor tehnic vagoane,revizor tehnic vagoane,revizor tehnic vagoane,100.0,23,18,5,5,18,53.652195892404556,medium
432344,revizor tehnic auto,revizor tehnic auto,revizor tehnic vagoane,82.92682926829268,23,18,5,5,18,53.652195892404556,medium
235301,profesor de limbi străine,profesor de limbi straine,profesor de limbi straine,100.0,53,26,27,10,43,53.642620295703715,medium
413206,operator mașină de calculat,operator masina de calculat,operator masina de calcat rufe,87.71929824561403,22,11,11,3,19,53.595568373041395,medium
421203,supraveghetor jocuri (cazinou),supraveghetor jocuri (cazinou),supraveghetor cazinou,82.35294117647058,22,11,11,3,19,53.595568373041395,medium
226205,farmacist primar,farmacist primar,farmacist spital,81.25,52,30,22,9,43,53.54405815837082,medium
311709,tehnician proiectant metalurg,tehnician proiectant metalurg,tehnician proiectant machete,84.21052631578947,38,16,22,6,32,53.526478207738094,medium
311708,tehnician proiectant minier,tehnician proiectant minier,tehnician proiectant machete,83.63636363636363,38,16,22,6,32,53.526478207738094,medium
112024,director tehnic,director tehnic,editor tehnic,85.71428571428571,46,24,22,16,30,53.50449966434302,medium
815415,operator decator,operator decator,operator excavator,88.23529411764706,38,18,20,5,33,53.47115857816911,medium
134920,director departament securitate,director departament securitate,director departament universitate,84.375,41,22,19,10,31,53.462782067639374,medium
242104,responsabil proces,responsabil proces,responsabil de proces,92.3076923076923,25,17,8,6,19,53.45130912239606,medium
752204,marangoz-călăfătuitor,marangoz-calafatuitor,marangoz calafatuitor,95.23809523809523,22,10,12,3,19,53.406282161766704,medium
962905,aprod,aprod,aprod,100.0,28,10,18,5,23,53.344696521934566,medium
931203,"muncitor necalificat la întreținerea de drumuri, șosele, poduri, baraje","muncitor necalificat la intretinerea de drumuri, sosele, poduri, baraje","muncitor intretinere drumuri, sosele, poduri, baraje",84.5528455284553,33,15,18,4,29,53.33385073932614,medium
932907,lucrător sortator deșeuri reciclabile,lucrator sortator deseuri reciclabile,lucrator sortator deseuri reciclabile,100.0,34,12,22,7,27,53.307052119176326,medium
731835,pregătitor articole marochinărie,pregatitor articole marochinarie,operator manual articole marochinarie,81.15942028985508,15,4,11,5,10,53.2164591798454,medium
333103,administrator cumpărări,administrator cumparari,administrator magazin,81.81818181818183,29,11,18,4,25,53.21346095171642,medium
265237,cercetător științific în muzică,cercetator stiintific in muzica,cercetator stiintific veterinar,80.64516129032258,56,46,10,7,49,53.1982166990711,medium
315506,tehnician securitate aeriană,tehnician securitate aeriana,tehnician securitate aeriana,100.0,23,17,6,6,17,53.18215221684567,medium
