cod_cor,denumire_ocupatie,denumire_clean,matched_job,match_score
812147,"trefilator, trăgător","trefilator, tragator",vanator,69.23076923076923
263634,treibar,treibar,asistent vestiar,65.45454545454547
932910,umplutor sifoane,umplutor sifoane,operator la masini de ambalat si umplut recipiente/operatoare la masini de ambalat si umplut recipiente,61.559999999999995
731805,velator-matisor,velator-matisor,patiser,69.23076923076923
111422,vicepreședinte asociație patronală,vicepresedinte asociatie patronala,presedinte instanta,66.31578947368422
962401,vidanjor-curățitor canale,vidanjor-curatitor canale,editor,68.4
265232,video-jockey,video-jockey,disc-jockey,69.56521739130434
343518,videojurnalist (studii medii),videojurnalist (studii medii),analist costuri,66.00000000000001
265436,videojurnalist (studii superioare),videojurnalist (studii superioare),analist costuri,66.00000000000001
713204,vopsitor,vopsitor,operator vopsire imbracaminte din blana,68.4
713102,"zugrav 4457) 121118* 4458) 121305* 4459) 131113* 4460) 133008* 4461) 211442* 4462) 211443* 4463) 213113* 4464) 213231* 4465) 213235* 4466) 214946* 4467) 216608* 4468) 224001* 4469) 226602* 4470) 235202* 4471) 241252* 4472) 241253* 4473) 241254* 4474) 261102* 4475) 261207* 4476) 261904* 4477) 261905* 4478) 261907* 4479) 261908* 4480) 261909* 4481) 264221* 4482) 265308* 4483) 313112* 4484) 315104* 4485) 315105* 4486) 315106* 4487) 315211* 4488) 325701* 4489) 325702* 4490) 325703* 4491) 325711* 4492) 325713* 4493) 325714* 4494) 325715* 4495) 325725* 4496) 331201* 4497) 333306* 4498) 341102* 4499) 343105* 4500) 352117* 4501) 352118* 4502) 413105* 4503) 413106* 4504) 432108* 4505) 432318* 4506) 441207* 4507) 441212* 4508) 441503* 4509) 441504* 4510) 441505* 4511) 441506* 4512) 441507* 4513) 441508* 4514) 611102* 4515) 721428* 4516) 721429* 4517) 722109* 4518) 731203* 4519) 731204* 4520) 731410* 4521) 731506* 4522) 732107* 4523) 732108* 4524) 732116* 4525) 754106* 4526) 754109* 4527) 811402* 4528) 811405* 4529) 811406* 4530) 811410* 4531) 813132* 4532) 813133* 4533) 815101* 4534) 815102* 4535) 815103* 4536) 815104* 4537) 815105* 4538) 815106* 4539) 815107* 4540) 815108* 4541) 815109* 4542) 815110* 4543) 815114* 4544) 815115* 4545) 815116* 4546) 815117* 4547) 815118* 4548) 815119* 4549) 815120* 4550) 815121* 4551) 815122* 4552) 815123* 4553) 815124* 4554) 815125* 4555) 815126* 4556) 815203* 4557) 815206* 4558) 815213* 4559) 815214* 4560) 815418* 4561) 815419* 4562) 815426* 4563) 815427* 4564) 815429* 4565) 816008* 4566) 816009* 4567) 816012* 4568) 816013* 4569) 817214* 4570) 821210* 4571) 932901* 4572) 932912* 4573) 962402* 4574) 962910* * Codurile vacante au rezultat ca urmare a modificărilor operate în nomenclatorul COR, la solicitarea utilizatorilor, în funcție de schimbările apărute pe piața muncii din România, cum ar fi: mutarea unei ocupații în altă Grupă majoră, Subgrupă majoră, Grupă minoră sau Grupă de bază sau radierea/eliminarea unei ocupații.","zugrav 4457) 121118* 4458) 121305* 4459) 131113* 4460) 133008* 4461) 211442* 4462) 211443* 4463) 213113* 4464) 213231* 4465) 213235* 4466) 214946* 4467) 216608* 4468) 224001* 4469) 226602* 4470) 235202* 4471) 241252* 4472) 241253* 4473) 241254* 4474) 261102* 4475) 261207* 4476) 261904* 4477) 261905* 4478) 261907* 4479) 261908* 4480) 261909* 4481) 264221* 4482) 265308* 4483) 313112* 4484) 315104* 4485) 315105* 4486) 315106* 4487) 315211* 4488) 325701* 4489) 325702* 4490) 325703* 4491) 325711* 4492) 325713* 4493) 325714* 4494) 325715* 4495) 325725* 4496) 331201* 4497) 333306* 4498) 341102* 4499) 343105* 4500) 352117* 4501) 352118* 4502) 413105* 4503) 413106* 4504) 432108* 4505) 432318* 4506) 441207* 4507) 441212* 4508) 441503* 4509) 441504* 4510) 441505* 4511) 441506* 4512) 441507* 4513) 441508* 4514) 611102* 4515) 721428* 4516) 721429* 4517) 722109* 4518) 731203* 4519) 731204* 4520) 731410* 4521) 731506* 4522) 732107* 4523) 732108* 4524) 732116* 4525) 754106* 4526) 754109* 4527) 811402* 4528) 811405* 4529) 811406* 4530) 811410* 4531) 813132* 4532) 813133* 4533) 815101* 4534) 815102* 4535) 815103* 4536) 815104* 4537) 815105* 4538) 815106* 4539) 815107* 4540) 815108* 4541) 815109* 4542) 815110* 4543) 815114* 4544) 815115* 4545) 815116* 4546) 815117* 4547) 815118* 4548) 815119* 4549) 815120* 4550) 815121* 4551) 815122* 4552) 815123* 4553) 815124* 4554) 815125* 4555) 815126* 4556) 815203* 4557) 815206* 4558) 815213* 4559) 815214* 4560) 815418* 4561) 815419* 4562) 815426* 4563) 815427* 4564) 815429* 4565) 816008* 4566) 816009* 4567) 816012* 4568) 816013* 4569) 817214* 4570) 821210* 4571) 932901* 4572) 932912* 4573) 962402* 4574) 962910* * codurile vacante au rezultat ca urmare a modificarilor operate in nomenclatorul cor, la solicitarea utilizatorilor, in functie de schimbarile aparute pe piata muncii din romania, cum ar fi: mutarea unei ocupatii in alta grupa majora, subgrupa majora, grupa minora sau grupa de baza sau radierea/eliminarea unei ocupatii.",activist de campanie electorala,57.0
