cod_cor,denumire_ocupatie
215232,cercetător în telecomenzi și electronică în transporturi
214635,cercetător în topografie minieră
214922,cercetător în tricotaje-confecții textile
214644,cercetător în turnarea metalelor
214475,cercetător în utilaje și instalații portuare
214478,cercetător în utilaje și tehnologia ambalării
213254,cercetător în zootehnie
215133,cercetător roboți industriali
226304,"cercetător științific în bacteriologie, microbiochimie, farmacologie"
211444,"cercetător științific în domeniul hidrologiei, hidrogeologiei și gospodăririi apelor"
265237,cercetător științific în muzică
711906,chesonier
111103,chestor Parlament
263607,chevrasameș
211301,chimist
211312,chimist analist
214910,"chimist în materiale oxidice (sticlă, ceramică)"
226917,chimist medical principal
226914,chimist medical specialist
134204,"chimist șef secție, laborator"
612101,cioban (oier)
612109,cioban montan
751102,ciontolitor tranșator carne
621001,cioplitor în lemn
711301,cioplitor în piatră și marmură
711302,"cioplitor-montator piatră, marmură"
752314,circularist la tăiat lemne de foc
611202,ciupercar
731303,cizelator
731304,cizelator clișee galvanice
753601,"cizmar - confecționer încălțăminte, după comandă"
314206,clasificator carcase
211203,climatolog
265902,clovn
514101,coafor
516402,coafor canin
514103,coafor stilist
812101,cocsar
441301,codificator
751202,cofetar
343404,cofetar - șef
753112,cojocar
732302,colator publicitar
421402,colector (recuperator) creanțe/debite
816010,"colector și preparator făină, sânge, carne, oase"
143102,comandant aeroclub
132403,comandant coordonator grup mare pescuit oceanic
315301,comandant detașament zbor
132434,comandant instructor
315302,comandant însoțitor de bord
132402,comandant nave maritime
112002,"comandant port, flotă"
111104,comandant unic aviație
112001,comandant/ comandant adjunct aviație
834102,combiner agricol
264201,comentator publicist
264222,comentator radio TV
522102,comerciant vânzător mărfuri nealimentare
335904,comisar
241202,comisar Garda Financiară
111105,comisar general
111106,comisar general adjunct
241207,comisar principal
121119,comisar șef divizie Garda Financiară
962103,comisioner
265235,compozitor
265240,compozitor muzică de film/teatru
265241,compozitor muzică electronică
265243,compozitor muzică publicitară
265242,compozitor muzică sacră
265239,compozitor muzică ușoară/pop
818907,compresorist
811212,concasorist
813115,concentrator-purificator în chimie
214110,conceptor/ conceptor CAO
265203,concert maestru
813143,condiționer finisor produse explozive
816034,condiționer miere
751601,condiționer tutun pentru fabricarea țigaretelor
812114,condiționer-finisor
814126,condiționer-finisor produse din cauciuc
132404,conducător (director și director adjunct) Administrația Filială Dunărea de Jos (AFDJ)
132439,conducător activitate de transport rutier
835004,conducător ambarcațiuni agrement pe ape interioare
132303,conducător antrepriză construcții-montaj
263610,conducător arhiepiscopal
831103,conducător autodrezină
834406,conducător autoîncărcător portuar
833204,conducător autospecială
834405,conducător autotrailer
833101,conducător auto transport rutier de persoane
833201,conducător auto transport rutier de mărfuri
111405,"conducător de asociații, filiale și organizații obștești"
133009,conducător de întreprindere mică - patron (girant) în informatică
134506,conducător de întreprindere mică - patron (girant) în învățământ
134402,conducător de întreprindere mică - patron (girant) în sănătate
143114,conducător de întreprindere mică - patron (girant) în sport
143907,conducător de întreprindere mică - patron (girant) în turism
214213,conducător de lucrări civile
832101,conducător de motocicletă
832102,conducător de motoscuter
111433,conducător de organizații umanitare
143912,"conducător de pensiune turistică (rurală, agroturistică, montană)"
835007,conducător de șalupă maritimă/ fluvială
122108,"conducător firmă mică - patron (girant) în afaceri, intermedieri și alte servicii comerciale"
265248,conducător formație muzicală
132209,conducător întreprindere mică - patron (girant) industrie extractivă
132110,conducător întreprindere mică - patron (girant) industrie prelucrătoare
141101,conducător întreprindere mică - patron (girant) în activitatea hotelieră și restaurante
131122,conducător întreprindere mică - patron (girant) în agricultură și silvicultură
142011,conducător întreprindere mică - patron (girant) în comerț
133047,conducător întreprindere mică - patron (girant) în comunicații
132315,conducător întreprindere mică - patron (girant) în construcții
131203,conducător întreprindere mică - patron (girant) în piscicultură și vânătoare
134909,conducător întreprindere mică - patron (girant) în prestări servicii
132452,conducător întreprindere mică - patron (girant) în transporturi
134501,conducător tabără școlară
833103,conducător tramvai (vatman)
833102,conducător troleibuz
216102,conductor arhitect
722311,conductor de instalații
511201,conductor tren
511204,conductor vagon de dormit și cușetă
753602,confecționer articole din piele și înlocuitori
731802,confecționer articole hârtie
752304,confecționer articole speciale din lemn
817202,confecționer bastoane din plută
821221,confecționer becuri
731803,confecționer bibelouri din Jenille
731722,"confecționer bidinele, pensule, perii"
741214,confecționer cablaje auto
821208,confecționer cabluri și arbori de cabluri
721403,confecționer capace de carde
813149,confecționer cartușe de vânătoare
812227,confecționer celule de electroliză
821216,confecționer circuite imprimate
821214,confecționer circuite integrate
721404,confecționer cocleți
817203,confecționer colaci și centuri de salvare
753203,confecționer corsete
731719,confecționer corzi din intestine
731709,confecționer cretă școlară
752306,confecționer cutii chibrituri din furnir
752327,confecționer cutii de chibrituri din carton
